node_id_from	node_id_to	weight
140964634	140964464	0.000356
298728281	298458283	0.000356
1425431336	1425431333	0.000357
140964516	159799940	0.000357
1269258170	1269258168	0.000357
289854600	301736977	0.000357
159798439	159798402	0.000357
160916834	160917045	0.000357
290642637	290642641	0.000357
286835158	286835159	0.000357
159870163	288473805	0.000357
159798232	159798177	0.000357
159798351	159798147	0.000358
288189794	288189795	0.000358
159869591	159869473	0.000358
289959412	290470326	0.000359
301736977	301736976	0.000359
159870757	159869622	0.000359
99304185	99304165	0.000359
1268874952	1268874951	0.000359
289854597	284959159	0.000359
159869742	288210328	0.000359
159861899	159862066	0.000359
159870750	159869945	0.000360
301736606	301736603	0.000360
1285445545	1285445549	0.000360
285188113	285188112	0.000360
99304237	99304188	0.000360
159709320	286526093	0.000360
159870297	159870226	0.000360
297847789	1360894020	0.000360
159869555	159870159	0.000360
159870627	159870576	0.000360
791385077	159869675	0.000361
159870088	159870606	0.000361
159869515	159870511	0.000361
160916909	160916946	0.000361
89934557	89934558	0.000361
1218510091	1218510092	0.000362
298965188	298965187	0.000362
285188109	285188108	0.000362
159798324	159798378	0.000362
159869595	159870808	0.000362
1269258168	1269258167	0.000362
159861867	159861840	0.000362
87384457	87384380	0.000362
17151393	17151394	0.000362
159861904	159862031	0.000363
140964445	140964624	0.000363
141903959	141903970	0.000363
140964455	140964626	0.000364
159950443	159950565	0.000364
301736762	301736763	0.000364
159934000	1327777186	0.000364
1298909857	159869759	0.000364
285188104	285188105	0.000364
99304231	99304182	0.000364
159798269	159798295	0.000364
159869639	159870783	0.000365
140964516	140964607	0.000365
159798360	159798329	0.000365
99304225	99304185	0.000365
159884777	287864635	0.000365
301736978	301736977	0.000365
791371807	791371810	0.000365
160917110	160916793	0.000366
159869984	159870039	0.000367
301736917	301736920	0.000367
160908861	160909184	0.000367
140964405	140964657	0.000367
159869675	159870013	0.000368
99304156	99304076	0.000368
299169360	299169361	0.000368
140964479	140964484	0.000368
160038092	160037958	0.000368
159870502	159870757	0.000368
1269258169	1269258168	0.000368
298965207	298965208	0.000369
1218510093	1218510094	0.000369
1225662742	159800054	0.000369
159870362	159858946	0.000369
159870450	159870336	0.000369
287702358	287702359	0.000369
159358817	159358751	0.000369
1425417364	1425417362	0.000369
301736194	301736191	0.000369
160917001	160917030	0.000370
287702353	287702352	0.000370
287835012	287835010	0.000370
1365848287	159870360	0.000370
287864634	287864631	0.000370
290783215	290783214	0.000370
99304157	99304072	0.000370
1425431308	1425431307	0.000371
159869494	159870811	0.000371
284180004	87384472	0.000371
159869855	159870283	0.000371
159884309	159884146	0.000372
159799858	159799995	0.000372
300409005	297847791	0.000372
160917057	160916901	0.000372
159950601	159950516	0.000372
290641320	290641321	0.000372
159862066	159862082	0.000372
301737099	1425417367	0.000372
159862023	159861998	0.000372
159405011	159404598	0.000372
141903959	141903929	0.000372
160038193	160037958	0.000372
291274898	160916785	0.000373
297317829	290777032	0.000373
159884294	159870152	0.000373
288183527	159870627	0.000373
159883997	159884743	0.000374
159870333	159869671	0.000375
13187604	669044490	0.000375
141900298	284160602	0.000375
159870557	159870459	0.000375
288183526	159870199	0.000375
274013621	274196149	0.000375
159869721	159869899	0.000376
276689622	170305370	0.000376
288210327	159870048	0.000376
288189795	159869952	0.000376
159898237	1285445536	0.000376
140964555	140964605	0.000376
273944110	13223660	0.000376
159869676	159870728	0.000376
160908898	160909208	0.000376
160158345	160158197	0.000377
159870032	159870180	0.000377
159491491	159491387	0.000377
1268039035	1268039031	0.000377
296984739	160909272	0.000378
299169374	291278557	0.000378
159898354	287746948	0.000378
159858785	159858967	0.000378
159870138	159870459	0.000378
159870382	159870471	0.000378
626794608	273989870	0.000378
159870316	159870088	0.000378
102805930	102150951	0.000378
94513402	94513074	0.000378
284230998	159537069	0.000379
159869760	140964587	0.000379
99304165	99304207	0.000379
291096150	298728300	0.000379
159898352	159898400	0.000379
288162640	159870594	0.000379
301736606	301736604	0.000379
298459518	1254902424	0.000379
89059906	89060007	0.000379
159870741	159869760	0.000380
726041378	726041376	0.000380
159536940	159537062	0.000380
1425417342	1425417343	0.000380
273989868	273989874	0.000380
159950541	159950443	0.000380
159527430	159537230	0.000380
160038922	160039083	0.000380
159861694	159862166	0.000380
290470363	290470367	0.000380
159862084	159862177	0.000381
159862082	159862164	0.000381
791371776	791371775	0.000381
159898178	159898655	0.000381
160909256	160908976	0.000381
302708856	1253231910	0.000381
